Primary,Secondary,Event time,Event type,Phase A mean,Phase B mean,Phase C mean,Phase A median,Phase B median,Phase C median,Phase A 95th percentile,Phase B 95th percentile,Phase C 95th percentile,
Monton,Vicars Street (165510),2014-02-14 14:41:43,Closed,-0.04,-0.14,0.00,0.10,0.00,0.00,-0.80,-1.00,-0.80,
Musgrave Rd,Oakwood Dr (231239),2014-01-06 19:33:16,Opened,0.12,0.33,0.22,0.30,0.40,0.20,-0.10,0.00,-0.10,
Crown Ln,Moreton Mill (231547),2013-07-29 19:34:47,Closed,0.03,0.14,-0.22,0.10,0.10,-0.40,0.80,0.80,0.60,
Farnworth,Primrose St (232537),2014-01-25 13:22:44,Closed,0.41,0.35,0.29,0.40,0.50,0.20,0.20,0.32,0.30,
Woodley,Travellers Call (330278),2014-04-04 13:34:21,Closed,0.08,0.04,-0.06,0.10,0.00,-0.10,-0.20,-0.30,-0.40,
Hyndburn Rd,Oakhill (450183),2014-01-06 20:12:44,Opened,0.45,0.38,0.34,0.40,0.40,0.40,0.40,0.30,0.30,
Chassen Rd,Hastings Dr (165736),2014-02-14 14:21:39,Closed,0.71,0.63,0.63,0.50,0.60,0.50,0.40,0.17,0.17,
Chassen Rd,Ambleside Road (165734),2014-02-14 14:21:39,Closed,-0.19,-0.36,-0.34,-0.30,-0.70,-0.60,-0.10,-0.50,-0.50,
St Annes,Kilnhouse Estate (423221),2013-09-27 12:39:25,Opened,0.10,-0.27,-0.09,0.30,-0.20,-0.10,0.10,-0.40,0.00,
Levenshulme,Fairbourne Rd (171654),2014-02-07 13:43:23,Opened,0.30,0.33,0.35,0.40,0.40,0.40,0.10,0.10,0.10,
St Annes,Blundell Rd (423551),2014-01-25 12:49:32,Closed,-0.15,-0.19,-0.23,0.00,0.00,0.00,-0.20,-0.30,-0.40,
Droylsden East,Old Fm Cres (172127),2014-01-06 19:37:13,Opened,-0.53,-0.17,-0.24,-0.50,-0.25,-0.20,-0.50,-0.28,-0.40,
Roman Rd,Longshaw Mill (450560),2014-02-14 18:51:06,Closed,-0.69,-0.84,-0.70,-0.80,-0.90,-0.70,-0.70,-0.90,-0.60,
Middleton Junction,Green St (311036),2014-02-07 14:20:54,Opened,0.10,0.13,0.09,0.20,0.10,0.00,-0.20,-0.30,0.10,
Hyndburn Rd,Booth St (450927),2014-01-25 13:30:09,Closed,0.06,0.23,0.10,0.00,0.20,0.10,0.10,0.20,0.30,
Hyndburn Rd,Oakhill (450183),2014-01-25 13:30:09,Closed,0.30,0.36,0.39,0.20,0.30,0.30,0.20,0.30,0.30,
Spa Rd,Kent St (231075),2013-08-13 17:47:10,Opened,0.36,0.31,0.23,0.20,0.10,0.00,0.67,0.50,0.32,
Spa Rd,Kays Hanover St (231217),2013-08-13 17:47:10,Opened,0.36,0.34,0.24,0.40,0.20,0.20,0.70,0.60,0.40,
Droylsden East,Old Fm Cres (172127),2013-10-20 11:55:10,Closed,-0.46,-0.44,-0.57,-0.50,-0.40,-0.50,-0.80,-0.70,-1.00,
Hyndburn Rd,Booth St (450927),2013-05-15 18:12:45,Closed,-0.43,1.40,-0.10,-0.50,1.05,-0.20,-0.40,0.00,-0.20,
Hyndburn Rd,Oakhill (450183),2013-05-15 18:12:45,Closed,-0.16,0.02,0.25,-0.20,-0.20,0.10,-0.42,-0.30,0.03,
Sale,Dane Mornington (171247),2014-01-06 20:07:33,Opened,0.27,0.10,0.17,0.50,0.20,0.40,0.10,0.00,0.00,
Great Harwood,Delph Mill (450154),2014-04-04 10:51:11,Closed,0.55,0.79,0.48,0.90,1.40,0.80,0.40,0.38,0.30,
Spa Rd,Kent St (231075),2014-02-07 14:03:54,Opened,-0.00,0.05,0.19,-0.10,0.10,0.30,-0.20,-0.30,-0.20,
