Primary,Secondary,Event time,Event type,Phase A mean,Phase B mean,Phase C mean,Phase A median,Phase B median,Phase C median,Phase A 95th percentile,Phase B 95th percentile,Phase C 95th percentile,
Musgrave Rd,Oakwood Dr (231239),2014-01-06 19:33:16,Opened,13.06,6.25,3.32,28.76,12.48,15.98,5.77,1.86,-8.92,
Crown Ln,Moreton Mill (231547),2013-07-29 19:34:47,Closed,3.52,-6.64,1.63,6.60,-4.12,3.71,13.66,-6.55,8.51,
Farnworth,Primrose St (232537),2014-01-25 13:22:44,Closed,5.31,0.60,3.37,10.11,0.21,-1.24,2.47,-7.63,-1.24,
Woodley,Travellers Call (330278),2014-04-04 13:34:21,Closed,1.49,4.84,-3.27,1.85,2.37,-4.12,-3.35,3.19,-1.65,
Hyndburn Rd,Oakhill (450183),2014-01-06 20:12:44,Opened,4.26,4.28,3.79,11.85,10.20,4.95,-2.93,7.21,-5.47,
Chassen Rd,Hastings Dr (165736),2014-02-14 14:21:39,Closed,-9.34,-9.33,-4.49,-18.15,-17.12,-7.53,-12.27,-5.31,-2.12,
Chassen Rd,Ambleside Road (165734),2014-02-14 14:21:39,Closed,-5.89,0.44,-5.78,-1.97,-1.35,1.35,-23.10,-5.98,-36.71,
St Annes,Kilnhouse Estate (423221),2013-09-27 12:39:25,Opened,1.77,-0.34,4.01,3.30,1.75,3.40,-0.88,3.35,4.69,
Levenshulme,Fairbourne Rd (171654),2014-02-07 13:43:23,Opened,-3.35,8.84,-7.32,-7.74,3.61,-5.36,5.20,11.95,-10.77,
St Annes,Blundell Rd (423551),2014-01-25 12:49:32,Closed,2.69,7.12,0.61,5.27,12.06,-1.24,0.46,10.62,6.24,
Droylsden East,Old Fm Cres (172127),2014-01-06 19:37:13,Opened,9.62,0.76,4.90,33.72,5.05,17.42,-15.15,-6.75,-2.16,
Roman Rd,Longshaw Mill (450560),2014-02-14 18:51:06,Closed,-1.90,2.50,-2.77,-2.06,5.26,-1.23,-2.31,1.70,-5.62,
Middleton Junction,Green St (311036),2014-02-07 14:20:54,Opened,-0.92,0.17,0.99,-1.96,-2.06,-1.65,-7.33,1.14,-0.82,
Hyndburn Rd,Booth St (450927),2014-01-25 13:30:09,Closed,4.00,7.23,6.88,8.56,8.97,13.92,-2.73,1.28,-7.74,
Hyndburn Rd,Oakhill (450183),2014-01-25 13:30:09,Closed,3.54,1.83,-1.22,2.27,3.81,-1.55,8.00,-0.05,-0.46,
Spa Rd,Kent St (231075),2013-08-13 17:47:10,Opened,1.40,-2.27,-0.45,5.67,-3.92,1.86,-4.64,-3.66,-5.21,
Spa Rd,Kays Hanover St (231217),2013-08-13 17:47:10,Opened,-2.26,-1.26,1.30,-6.39,0.00,1.03,-1.24,-3.97,4.53,
Droylsden East,Old Fm Cres (172127),2013-10-20 11:55:10,Closed,-1.18,-2.01,-3.08,-3.82,-5.68,2.68,-0.62,1.81,-11.29,
Hyndburn Rd,Booth St (450927),2013-05-15 18:12:45,Closed,-8.66,-11.44,-4.50,-12.99,-11.14,-8.46,-7.06,-14.39,-9.07,
Hyndburn Rd,Oakhill (450183),2013-05-15 18:12:45,Closed,-3.14,-3.00,-3.60,-5.15,-4.53,-1.34,2.47,1.49,-6.14,
Sale,Dane Mornington (171247),2014-01-06 20:07:33,Opened,8.21,5.17,2.03,18.35,5.77,7.84,4.12,3.97,3.30,
Great Harwood,Delph Mill (450154),2014-04-04 10:51:11,Closed,2.30,-10.60,1.45,8.66,-4.43,5.36,-4.17,-27.58,8.04,
Spa Rd,Kent St (231075),2014-02-07 14:03:54,Opened,-1.16,0.92,-5.24,-4.74,0.62,-8.25,-2.06,6.03,-7.63,
