Primary,Secondary,Event time,Event type,Phase A mean,Phase B mean,Phase C mean,Phase A median,Phase B median,Phase C median,Phase A 95th percentile,Phase B 95th percentile,Phase C 95th percentile,
Musgrave Rd,Oakwood Dr (231239),2014-01-06 19:33:16,Opened,-0.00,-0.00,-0.00,0.01,0.00,0.00,0.01,0.00,0.01,
Crown Ln,Moreton Mill (231547),2013-07-29 19:34:47,Closed,-0.03,-0.01,0.09,0.00,-0.01,0.06,-0.01,0.00,0.22,
Farnworth,Primrose St (232537),2014-01-25 13:22:44,Closed,-0.00,0.00,-0.00,-0.00,0.00,0.01,-0.01,-0.01,-0.01,
Woodley,Travellers Call (330278),2014-04-04 13:34:21,Closed,-0.03,-0.03,-0.03,-0.01,0.00,0.00,0.01,0.00,-0.00,
Hyndburn Rd,Oakhill (450183),2014-01-06 20:12:44,Opened,-0.00,-0.00,-0.00,-0.01,0.00,-0.01,0.00,0.00,0.01,
Chassen Rd,Hastings Dr (165736),2014-02-14 14:21:39,Closed,-0.04,-0.06,-0.04,-0.01,-0.01,-0.01,-0.03,-0.04,-0.08,
Chassen Rd,Ambleside Road (165734),2014-02-14 14:21:39,Closed,-0.04,-0.06,-0.04,0.00,0.00,0.00,-0.04,-0.05,-0.13,
St Annes,Kilnhouse Estate (423221),2013-09-27 12:39:25,Opened,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Levenshulme,Fairbourne Rd (171654),2014-02-07 13:43:23,Opened,-0.02,-0.02,-0.00,0.01,-0.01,0.01,-0.19,-0.04,-0.04,
St Annes,Blundell Rd (423551),2014-01-25 12:49:32,Closed,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,
Droylsden East,Old Fm Cres (172127),2014-01-06 19:37:13,Opened,0.00,-0.00,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,
Roman Rd,Longshaw Mill (450560),2014-02-14 18:51:06,Closed,0.03,0.03,0.02,0.00,0.00,0.00,0.27,0.29,-0.10,
Middleton Junction,Green St (311036),2014-02-07 14:20:54,Opened,-0.04,-0.08,-0.03,-0.01,-0.03,-0.01,-0.18,-0.37,-0.18,
Hyndburn Rd,Booth St (450927),2014-01-25 13:30:09,Closed,-0.00,-0.00,-0.00,0.01,-0.00,-0.01,-0.01,0.03,-0.01,
Hyndburn Rd,Oakhill (450183),2014-01-25 13:30:09,Closed,-0.00,-0.00,-0.00,0.00,-0.01,0.00,-0.01,-0.01,-0.02,
Spa Rd,Kent St (231075),2013-08-13 17:47:10,Opened,-0.01,-0.01,-0.01,-0.03,-0.03,-0.03,0.00,0.00,0.00,
Spa Rd,Kays Hanover St (231217),2013-08-13 17:47:10,Opened,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.09,0.06,
Droylsden East,Old Fm Cres (172127),2013-10-20 11:55:10,Closed,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,
Hyndburn Rd,Booth St (450927),2013-05-15 18:12:45,Closed,-0.00,-0.23,-0.00,0.00,-0.23,0.00,-0.01,-0.34,0.00,
Hyndburn Rd,Oakhill (450183),2013-05-15 18:12:45,Closed,-0.00,-0.02,-0.00,0.00,-0.01,0.00,0.00,-0.09,0.00,
Sale,Dane Mornington (171247),2014-01-06 20:07:33,Opened,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.02,-0.01,0.01,
Great Harwood,Delph Mill (450154),2014-04-04 10:51:11,Closed,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.02,-0.01,0.00,
Spa Rd,Kent St (231075),2014-02-07 14:03:54,Opened,-0.02,-0.02,-0.00,0.01,0.01,0.01,-0.03,-0.02,-0.02,
